node_id,x,y,degree,degree_centrality,betweenness_centrality,node_type
129895,775252.255081,1433231.175771,4,2.9663907923229807e-05,0.06379893079647603,intersection
2772,775788.000198,1435643.608882,4,2.9663907923229807e-05,0.06379006546863526,intersection
6096,789614.050837,1438341.397337,2,1.4831953961614903e-05,0.0637830151612145,endpoint
6097,790329.889234,1438691.875389,2,1.4831953961614903e-05,0.06377634073243436,endpoint
26399,779936.544071,1431558.190544,5,3.7079884904037255e-05,0.06367871483822429,intersection
51182,784625.9274,1443036.288314,4,2.9663907923229807e-05,0.06338776347599123,intersection
35042,781399.393133,1429365.499614,4,2.9663907923229807e-05,0.06332101645224839,intersection
56161,774718.897693,1431675.137316,4,2.9663907923229807e-05,0.06313969614495737,intersection
56162,774707.530299,1431638.899292,3,2.2247930942422355e-05,0.06288854836353698,intersection
126467,789189.422522,1438140.553572,3,2.2247930942422355e-05,0.06276103455284494,intersection
75870,780261.28313,1440211.118079,3,2.2247930942422355e-05,0.06275755898275413,endpoint
91423,775967.325184,1430812.749983,4,2.9663907923229807e-05,0.06258558339610847,endpoint
123899,776286.49633,1430558.247111,3,2.2247930942422355e-05,0.06255737273327194,endpoint
24985,781318.711713,1439120.803374,3,2.2247930942422355e-05,0.0625454251546691,intersection
130766,781439.931305,1438731.089607,4,2.9663907923229807e-05,0.06252447025279381,endpoint
83802,779228.677361,1428204.152465,4,2.9663907923229807e-05,0.06250538598919424,endpoint
